idx,"('Unique Words', 'chicago')","('Unique Words', 'houston')","('Unique Words', 'losangeles')","('Unique Words', 'newyork')","('Unique Words', 'philadelphia')","('Unique Words', 'phoenix')","('Unique Words', 'sanantonio')","('frequency', 'chicago')","('frequency', 'houston')","('frequency', 'losangeles')","('frequency', 'newyork')","('frequency', 'philadelphia')","('frequency', 'phoenix')","('frequency', 'sanantonio')"
0,tennis,workout,tennis,tennis,tennis,softball,league,25,12,38,44,25,36,9
1,female,join,lessons,poker,softball,soccer,tennis,10,9,15,30,15,24,9
2,soccer,trainer,female,female,training,coed,basketball,9,8,15,30,11,17,7
3,lessons,training,softball,game,coed,female,fitness,7,8,14,23,9,16,6
4,softball,fitness,trainer,lessons,fitness,personal,coed,6,8,14,19,8,14,6
5,play,tennis,training,english,partners,training,softball,5,8,13,19,8,13,4
6,coed,soccer,league,exchange,female,league,training,5,8,13,18,8,12,4
7,partners,personal,coed,park,friends,football,workout,5,8,12,17,7,12,4
8,league,partners,workout,language,workout,play,football,5,7,12,17,7,11,4
9,arts,ladies,pick,softball,personal,summer,work,4,6,11,14,7,10,4
10,martial,buddy,personal,central,boxing,indoor,mens,4,6,11,14,6,10,4
11,summer,friends,classes,personal,learn,workout,gym,4,6,10,12,6,10,3
12,buddy,certified,soccer,yoga,play,male,like,3,5,10,12,6,9,3
13,men,activity,gym,club,fit,night,advice,3,5,10,10,6,9,3
14,baseball,weight,buddy,best,soccer,tennis,friends,3,5,10,10,5,8,3
15,fitness,lose,boxing,summer,make,youth,camps,3,5,9,10,5,8,3
16,workout,study,dance,play,month,kickers,flair,3,4,8,9,5,7,3
17,adult,coach,fun,korean,bootcamp,flag,events,3,4,8,9,5,7,3
18,amateur,football,mens,sunday,baseball,leagues,online,3,4,8,9,5,7,3
19,make,lessons,people,training,running,lil,tournament,3,4,8,9,5,7,3
