,Date,Location,Price
0,Jun 26, (San Antonio),
1,Jun 26, (san antonio),
2,Jun 26, (woodlawn/San Pedro area),
3,Jun 26, (nw san antonio),
4,Jun 26, (nw san antonio),
5,Jun 25, (Pearl Brewery),
6,Jun 25, (Tony Martinez Field),
7,Jun 25, (Kerrville),
8,Jun 25, (San Antonio ),
9,Jun 25,,
10,Jun 25,,
11,Jun 24, (Brackenridge Park),
12,Jun 24, (Olmos Basin Park),
13,Jun 24, (san antonio),
14,Jun 24, (san antonio),
15,Jun 24, (san antonio),
16,Jun 24, (two10.37.1.4.46.6),
17,Jun 24, (9107 Marbach),
18,Jun 24, (13130 blanco rd),
19,Jun 23, (San Antonio),
20,Jun 23, (san antonio),
21,Jun 23, (San Antonio),
22,Jun 23, (Elmendorf),
23,Jun 23, (9107 Marbach),
24,Jun 22, (ne san antonio),
25,Jun 22, (Pear Brewery Area),
26,Jun 22, (Pearl Brewery Area),
27,Jun 22, (n. central),
28,Jun 21, (ne san antonio),
29,Jun 21, (San Antonio),
30,Jun 20, (ne san antonio),
31,Jun 20, (San Antonio),
32,Jun 20, (san antonio),
33,Jun 20, (9107 Marbach),
34,Jun 20, (281/TPC),
35,Jun 20, (281/TPC),
36,Jun 20, (culebra ),
37,Jun 20, (Cibolo),
38,Jun 20, (Canyon Lake),
39,Jun 20, (Canyon lake new braunfels ),
40,Jun 19, (san antonio),
41,Jun 19, (san antonio),
42,Jun 19, (9107 Marbach),
43,Jun 19, (North San Antonio),
44,Jun 19, (1856 Nacogdoches Rd),
45,Jun 18, (san Antonio ),
46,Jun 18, (MEDICAL CENTER),
47,Jun 18, (MEDICAL CENTER),
48,Jun 18,,
49,Jun 18,,
50,Jun 18, (9107 Marbach),
51,Jun 17, (San Antonio),
52,Jun 17, (San Antonio),
53,Jun 17, (San Antonio),
54,Jun 17, (San Antonio),
55,Jun 17, (San Antonio),
56,Jun 17, (San Antonio),
57,Jun 17, (San Antonio),
58,Jun 17, (San Antonio),
59,Jun 17, (ne san antonio),
60,Jun 17, (San Antonio),
61,Jun 17, (SAINT FRANCIS),
62,Jun 17,,
63,Jun 17, ( All San Antonio),
64,Jun 17, (9107 Marbach),
65,Jun 16, (United States),
66,Jun 16, (san antonio),
67,Jun 16, (new braunfels),
68,Jun 15,,
69,Jun 14,,
70,Jun 14, (9107 Marbach Rd),
71,Jun 14," (San Antonio,TX NE side)",
72,Jun 12, (STAR SOCCER),
73,Jun 12, (San Antonio),
74,Jun 11, (Synergy Studio),
75,Jun 11, (Houston ),
76,Jun 11,,
77,Jun 11, (Schertz),
78,Jun 11,,
79,Jun 10, (Medical Center ),
80,Jun 10, (9107 Marbach ),
81,Jun 10, (Bulverde),
82,Jun  9, (San Antonio),
83,Jun  9, (San Antonio),
84,Jun  9, (san antonio),
85,Jun  9, ( North Central ),
86,Jun  9, (North Central ),
87,Jun  9, (San Antonio & Surrounding Areas),
88,Jun  7, (nw san antonio),
89,Jun  7, (SAn Antonio ),
90,Jun  5, (ne san antonio),
91,Jun  3, (410&EVERS),
92,Jun  3,,
93,Jun  3, (Building Materials),
94,Jun  2, (Austin Central),
95,Jun  2, (13130 blanco rd),
96,Jun  1, (San Antonio),
97,Jun  1, (San Antonio),
98,Jun  1, (San Antonio),
99,Jun  1, (San Antonio),
100,Jun  1, (San Antonio),
101,Jun  1, (131 topeka),
102,Jun  1,,
103,Jun  1, (marbach),
104,May 31,,
105,May 30, (NE San Antonio ),
106,May 29, (two10.37.1.4.46.6),
107,May 28, (Bandera rd and Grissom rd),
108,May 28, (south san antonio),
109,May 28, (online),
110,May 28, (central),
111,May 28,,
112,May 27, (NORTHEAST),
113,May 25," (floresville, san antonio, kenedy)",
114,May 25, (West/Northwest 1604/Culebra/Potranco/151),
115,May 24, (Northeast/North Central),
116,May 23, (BABCOCK),
117,May 23, (137 FORT WAYNE/UNIVERSAL CITY),
118,May 22,,
119,May 21, (Beware!),
120,May 21, (BABCOCK),
121,May 21,,
122,May 20, (westside),
123,May 20, (san antonio),
124,May 19, (Sedona),
125,May 17,,
126,May 17,,
127,May 16, (NW),
128,May 16, (NW),
129,May 16,,
130,May 16, (281 and Thousand Oaks will travel),
131,May 16, (san antonio),
132,May 15, (281 and Thousand Oaks and will travel),
133,May 15, (San Antonio),
134,May 15, (131 topeka),
135,May 15,,
136,May 14,,
137,May 14, (NE San Antonio),
138,May 14,,
139,May 14,,
140,May 13, (San Antonio Area),
141,May 13, (Bluestar Art Center),
142,May 13," (san antonio,tx)",
143,May 13, (NORTH CENTRAL),
144,May 13,,
145,May 12,,
146,May 12, (Floresville),
147,May 12, (blanco west ave),
148,May 12," (Warren, Marshall, Rimkus park)",
